gene_name,Inter_16,Inter_17,Inter_18,Mature_25,Mature_26,Early_01,Early_02,Early_03,Early_04,Early_0A
Cc035838,29,53,24,84,68,50,113,76,104,87
Cc035839,0,0,0,0,1,0,1,4,0,1
Cc035840,86,68,171,144,74,30,254,516,151,292
Cc035841,0,0,0,0,0,0,0,0,0,0
Cc035842,0,14,14,10,4,1,10,0,7,13
Cc035843,22,34,38,45,18,27,95,85,67,64
Cc035844,0,0,0,2,0,0,1,0,0,0
Cc035845,105,131,82,329,92,146,122,136,116,256
Cc035846,4,1,1,8,3,5,3,9,4,8
Cc035847,0,0,6,0,0,5,0,12,0,10
Cc035848,5,10,7,23,4,7,13,2,5,18
Cc035849,5,1,5,15,2,5,4,13,18,9
Cc035850,17,28,36,54,30,64,93,51,65,75
Cc035851,6,7,7,60,16,15,27,25,44,41
Cc035852,0,0,0,1,0,0,0,0,0,0
Cc035853,1,0,0,0,0,1,0,0,0,2
Cc035854,0,0,0,0,1,0,0,0,0,0
Cc035855,1,0,0,3,1,0,1,2,1,1
Cc035856,11,4,2,7,4,15,15,12,14,13
Cc035857,0,0,0,0,0,0,0,0,0,0
Cc035858,0,0,0,0,0,0,0,0,0,0
Cc035859,0,0,1,5,0,0,0,2,0,2
Cc035860,11,30,16,24,7,41,58,61,20,68
Cc035861,1,0,1,0,0,0,1,0,0,0
Cc035862,0,0,0,0,0,0,0,0,0,0
Cc035863,1,0,0,0,0,2,1,0,0,0
Cc035864,0,0,0,0,0,1,0,0,0,0
Cc035865,1,1,2,0,0,0,0,0,0,0
Cc035866,3,2,4,10,0,1,8,7,9,5
Cc035867,0,0,0,0,0,0,0,0,0,0
Cc035868,0,0,2,0,0,0,0,0,2,8
Cc035869,1,1,0,0,0,0,0,0,0,0
Cc035870,0,0,0,2,0,0,0,1,0,1
Cc035871,4,0,2,4,4,8,33,10,10,24
Cc035872,0,0,0,0,0,0,0,5,0,0
Cc035873,0,0,0,0,0,0,0,0,0,0
Cc035874,0,0,0,0,0,1,0,1,1,0
Cc035875,8,18,8,13,5,14,7,27,22,16
Cc035876,6,3,5,17,12,14,16,15,7,11
Cc035877,4,4,2,8,2,10,7,23,9,6
Cc035878,274,321,166,277,98,376,229,196,314,326
Cc035879,7,2,1,5,20,8,3,22,15,5
Cc035880,1,2,2,2,4,1,3,5,2,4
Cc035881,3,0,1,3,0,2,1,3,1,1
Cc035882,21,9,8,58,12,11,32,11,27,28
Cc035883,0,0,0,0,0,0,0,2,0,0
Cc035884,0,0,0,0,0,0,0,0,0,0
Cc035885,18,22,11,29,6,13,31,20,21,17
Cc035886,245,308,152,524,95,1169,839,229,310,517
Cc035887,28,35,29,81,34,65,36,45,31,66
Cc035888,1,0,0,1,3,0,0,2,0,0
Cc035889,16,9,11,69,18,34,65,27,23,52
Cc035890,1,0,0,0,0,1,0,0,0,0
Cc035891,0,0,0,0,0,1,3,2,0,2
Cc035892,0,0,0,0,0,0,0,1,0,0
Cc035893,0,1,0,0,0,0,1,1,0,1
Cc035894,0,1,0,0,0,3,0,4,1,4
Cc035895,0,0,0,0,0,0,0,0,0,0
Cc035896,0,0,0,0,0,0,0,0,0,0
Cc035897,0,0,1,0,0,0,0,1,0,0
Cc035898,1,10,4,22,13,3,5,24,11,29
Cc035899,0,0,0,0,0,0,0,4,1,0
Cc035900,0,0,0,0,0,1,0,0,0,0
Cc035901,0,0,1,0,0,0,0,0,0,0
Cc035902,12,11,5,2,3,0,0,0,0,1
Cc035903,0,0,0,0,0,0,0,0,0,0
Cc035904,1,0,1,3,3,1,0,1,3,1
Cc035905,7,4,4,12,4,4,14,13,11,14
Cc035906,0,0,0,0,0,0,0,1,0,0
Cc035907,0,0,0,3,0,1,7,0,0,0
Cc035908,0,2,2,2,5,1,9,1,1,6
Cc035909,11,34,14,18,14,12,0,6,15,23
Cc035910,0,0,0,0,0,1,0,1,0,0
Cc035911,1,2,1,5,1,1,1,2,2,1
Cc035912,0,0,0,0,0,0,0,0,0,0
Cc035913,0,0,0,0,0,0,0,0,0,0
Cc035914,10,19,10,11,8,34,16,34,16,22
Cc035915,34,44,47,65,14,74,84,59,74,88
Cc035916,2,0,1,10,0,2,2,6,7,4
Cc035917,0,2,2,14,1,2,11,3,5,7
Cc035918,3,4,2,3,1,2,2,4,0,2
Cc035919,3,4,0,17,1,0,14,12,9,17
Cc035920,0,0,0,0,0,1,0,0,0,0
Cc035921,5,8,13,11,1,16,8,16,6,21
Cc035922,0,0,0,0,0,0,0,0,0,0
Cc035923,1,0,0,0,0,0,0,0,0,2
Cc035924,0,0,0,0,0,1,0,1,0,0
Cc035925,0,3,0,0,1,1,0,1,1,1
Cc035926,0,0,0,0,0,0,0,0,0,0
Cc035927,0,0,1,0,0,0,1,1,0,1
Cc035928,1,0,0,0,0,0,0,0,0,0
Cc035929,4,3,3,5,2,4,7,4,7,8
Cc035930,1,0,0,0,1,2,0,0,1,1
Cc035931,3,0,2,0,3,5,0,1,3,2
